cluster_id	bc_unitType
0	MUA
1	GOOD
2	MUA
3	MUA
4	MUA
5	NOISE
6	GOOD
7	GOOD
8	MUA
9	GOOD
10	NOISE
11	NOISE
12	MUA
13	NON-SOMA
14	GOOD
15	MUA
16	GOOD
17	GOOD
18	NOISE
19	MUA
20	MUA
21	MUA
22	NOISE
23	MUA
24	MUA
25	GOOD
26	MUA
27	MUA
28	GOOD
30	MUA
31	GOOD
32	MUA
33	MUA
34	MUA
35	GOOD
36	MUA
37	MUA
38	MUA
39	MUA
40	MUA
41	GOOD
42	MUA
43	GOOD
44	NON-SOMA
45	GOOD
46	GOOD
47	MUA
48	GOOD
49	MUA
50	MUA
51	MUA
52	NOISE
53	GOOD
54	NON-SOMA
55	MUA
56	GOOD
57	GOOD
58	MUA
59	GOOD
60	MUA
61	NOISE
62	MUA
63	MUA
64	GOOD
65	MUA
66	MUA
67	NOISE
68	NOISE
69	MUA
70	MUA
71	GOOD
72	NOISE
73	MUA
74	NOISE
75	MUA
76	GOOD
77	MUA
78	NON-SOMA
79	MUA
80	MUA
81	GOOD
82	GOOD
83	MUA
84	GOOD
85	GOOD
86	GOOD
87	NOISE
88	NOISE
89	GOOD
90	GOOD
91	MUA
92	GOOD
93	GOOD
94	NON-SOMA
95	GOOD
96	MUA
97	MUA
98	MUA
99	MUA
100	MUA
101	MUA
102	MUA
103	MUA
104	GOOD
105	MUA
106	MUA
108	MUA
109	MUA
110	MUA
111	MUA
112	GOOD
113	MUA
114	GOOD
115	GOOD
116	MUA
117	NOISE
118	NOISE
119	GOOD
120	MUA
121	MUA
122	NOISE
123	MUA
124	MUA
125	MUA
126	GOOD
127	MUA
128	GOOD
129	GOOD
130	MUA
131	GOOD
132	GOOD
133	MUA
134	NOISE
135	MUA
136	MUA
137	NOISE
138	MUA
139	GOOD
140	MUA
141	MUA
142	GOOD
143	MUA
144	GOOD
145	GOOD
146	MUA
147	GOOD
148	MUA
149	MUA
150	NON-SOMA
151	GOOD
152	GOOD
153	GOOD
154	MUA
155	MUA
156	NOISE
157	NOISE
158	MUA
159	MUA
160	GOOD
161	NOISE
162	MUA
163	GOOD
164	MUA
165	GOOD
166	GOOD
167	NOISE
168	NOISE
169	GOOD
170	MUA
171	MUA
172	NOISE
173	GOOD
174	NOISE
175	NOISE
176	GOOD
177	NOISE
178	GOOD
179	NOISE
180	MUA
181	GOOD
182	MUA
183	GOOD
184	MUA
185	MUA
186	MUA
187	GOOD
188	MUA
189	GOOD
190	MUA
191	GOOD
192	MUA
193	MUA
194	GOOD
195	MUA
196	NON-SOMA
197	NOISE
198	GOOD
199	NOISE
200	MUA
201	MUA
202	GOOD
203	MUA
204	MUA
205	MUA
206	GOOD
208	MUA
209	MUA
210	MUA
211	MUA
212	GOOD
213	GOOD
214	NOISE
215	NON-SOMA
216	GOOD
217	MUA
218	MUA
219	MUA
220	MUA
221	GOOD
222	GOOD
223	MUA
224	MUA
225	NOISE
226	NOISE
227	MUA
228	MUA
229	GOOD
230	MUA
231	NOISE
232	MUA
233	MUA
234	NON-SOMA
235	GOOD
236	GOOD
237	MUA
238	MUA
239	MUA
240	MUA
241	GOOD
242	MUA
243	MUA
244	MUA
245	MUA
246	MUA
247	NOISE
248	MUA
249	NOISE
250	NOISE
251	MUA
252	GOOD
253	MUA
254	MUA
255	NOISE
256	GOOD
257	GOOD
258	MUA
259	NOISE
260	MUA
261	MUA
